country,R0,dose,Reff,0-9,Oct-19,20-29,30-39,40-49,50-59,60-69,70+
China,2.6,0.8,2.007054776,0.361833908,0.004683027,0.97887241,1,0.966641297,1,1,0.979562738
China,2.6,0.8,2.007720074,0.145402002,0.509635593,0.674229005,1,1,1,1,1
China,2.6,0.8,2.007723597,0.126825508,0.526164766,0.676603687,1,1,1,1,0.999764599
China,2.6,0.8,2.00777256,0.059598961,0.341339075,1,0.922943808,1,1,1,1
China,2.6,0.8,2.008059408,0.061543361,0.344895427,1,0.918904351,1,1,1,1
China,2.6,0.8,2.008132143,0.343293715,0.345847871,0.639197856,1,1,1,1,1
China,2.6,0.8,2.008296478,0.269313384,0.134856693,1,0.97591185,0.937480292,1,1,1
China,2.6,0.8,2.008444227,0.362863927,0.103059705,0.9231685,1,0.928431777,1,1,1
China,2.6,0.8,2.008444839,0.336398707,0.134166103,0.854046898,1,1,1,0.978012047,1
China,2.6,0.8,2.008675847,0.410040738,0,1,0.973087705,0.933299097,1,1,1
China,2.6,0.8,2.008905567,0.272516597,0.159665759,0.925745245,1,0.986463709,0.973825156,0.991993843,1
China,2.6,0.8,2.009623079,0.57334136,0,0.767235151,1,0.987347455,1,1,0.973365108
China,2.6,0.8,2.009859207,0.518322157,0,0.888592525,0.996210085,0.918748953,1,1,1
China,2.6,0.8,2.009926601,0.275296467,0.154880819,0.963859843,1,0.931915383,1,0.986974871,1
China,2.6,0.8,2.010032737,0.521666938,0.12150608,0.729215033,0.960601485,1,1,1,0.992692022
China,2.6,0.8,2.010048151,0.445117304,0.268665158,0.654318156,0.968017913,1,1,1,1
China,2.6,0.8,2.010325845,0.194642318,0.304630355,0.87734673,1,0.987892757,0.960037173,1,0.996331877
China,2.6,0.8,2.011149803,0.533667874,0.032553655,0.806335499,0.977003359,0.986283201,1,1,0.969292236
China,2.6,0.8,2.011278105,0.547493028,0,0.892815446,0.919433255,0.973389614,1,1,1
China,2.6,0.8,2.011399441,0.105189446,0.388442196,0.970293047,0.87868283,1,1,1,1
China,2.6,0.8,2.011434038,0.509132715,0.285869662,0.583828364,0.964780923,1,1,1,1
China,2.6,0.8,2.011759996,0.320065542,0.363297754,0.734140585,0.947496187,0.979145783,1,1,1
China,2.6,0.8,2.011969249,0.655830294,0.079580075,0.621105748,1,0.98455942,1,0.984888703,1
China,2.6,0.8,2.013728471,0.106021788,0.408421385,1,0.839479839,1,1,1,1
China,2.6,0.8,2.014366951,0.018370177,0.673789809,0.674320018,1,1,1,0.992778963,0.953213769
China,2.6,0,2.6,0,0,0,0,0,0,0,0
China,2.6,1,1.99698467,1,1,1,1,1,1,1,1
